Run = 0, optimized Expected Energy: -9.7502486609
Run = 1, optimized Expected Energy: -9.6677686807
Run = 2, optimized Expected Energy: -9.6829973679
Run = 3, optimized Expected Energy: -9.0113391042
Run = 4, optimized Expected Energy: -9.5515595963
Run = 5, optimized Expected Energy: -10.5689531322
Run = 6, optimized Expected Energy: -10.0330492044
Run = 7, optimized Expected Energy: -10.0453327414
Run = 8, optimized Expected Energy: -9.6910272548
Run = 9, optimized Expected Energy: -9.7117788693
Run = 10, optimized Expected Energy: -10.4832871380
Run = 11, optimized Expected Energy: -10.4969897952
Run = 12, optimized Expected Energy: -10.2053791765
Run = 13, optimized Expected Energy: -10.7473444729
Run = 14, optimized Expected Energy: -10.6712684272
Run = 15, optimized Expected Energy: -10.1999825863
Run = 16, optimized Expected Energy: -9.8907399931
Run = 17, optimized Expected Energy: -10.3999074653
Run = 18, optimized Expected Energy: -10.5778030020
Run = 19, optimized Expected Energy: -9.2687288814
Run = 20, optimized Expected Energy: -10.6774374716
Run = 21, optimized Expected Energy: -10.0059423779
Run = 22, optimized Expected Energy: -9.4797308582
Run = 23, optimized Expected Energy: -10.3357570562
Run = 24, optimized Expected Energy: -10.0202563530
Run = 25, optimized Expected Energy: -11.4588859713
Run = 26, optimized Expected Energy: -9.7832096227
Run = 27, optimized Expected Energy: -10.5545958148
Run = 28, optimized Expected Energy: -9.7449883311
Run = 29, optimized Expected Energy: -10.5550963553
-0.38880946892538426
