Run = 0, optimized Expected Energy: -8.3033353305
Run = 1, optimized Expected Energy: -7.4192010966
Run = 2, optimized Expected Energy: -7.7769468177
Run = 3, optimized Expected Energy: -7.6917124562
Run = 4, optimized Expected Energy: -7.6745095007
Run = 5, optimized Expected Energy: -7.6580729894
Run = 6, optimized Expected Energy: -7.6619453202
Run = 7, optimized Expected Energy: -7.8926630394
Run = 8, optimized Expected Energy: -7.6760043027
Run = 9, optimized Expected Energy: -7.9089714835
Run = 10, optimized Expected Energy: -8.6989224401
Run = 11, optimized Expected Energy: -7.4092450829
Run = 12, optimized Expected Energy: -7.5876755506
Run = 13, optimized Expected Energy: -7.6865359481
Run = 14, optimized Expected Energy: -8.2336210266
Run = 15, optimized Expected Energy: -6.9703384871
Run = 16, optimized Expected Energy: -6.9905080602
Run = 17, optimized Expected Energy: -8.2945038665
Run = 18, optimized Expected Energy: -7.3541249733
Run = 19, optimized Expected Energy: -7.1879133288
Run = 20, optimized Expected Energy: -8.0280956453
Run = 21, optimized Expected Energy: -7.4285231883
Run = 22, optimized Expected Energy: -8.0579947518
Run = 23, optimized Expected Energy: -7.9771408908
Run = 24, optimized Expected Energy: -7.5723359339
Run = 25, optimized Expected Energy: -7.9836817986
Run = 26, optimized Expected Energy: -7.9260835145
Run = 27, optimized Expected Energy: -7.5175979606
Run = 28, optimized Expected Energy: -7.9729156333
Run = 29, optimized Expected Energy: -7.6723559465
-0.29770958508304973
